,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
310,Ben & Jerry's Ice Cream,Frozen Foods - Desserts,"Ben & Jerry's Ice Cream is a delicious and indulgent frozen dessert made with high-quality ingredients. Featuring a variety of unique and mouthwatering flavors, each scoop is packed with rich, creamy goodness that is sure to satisfy any sweet tooth. Whether you're craving a classic like Chocolate Fudge Brownie or a more adventurous pick like Phish Food, Ben & Jerry's Ice Cream offers a delightful treat for any occasion.",$1.15,388,Vegan,Non-Gluten-Free
311,Häagen-Dazs Ice Cream,Frozen Foods - Desserts,"Indulge in the rich and creamy flavor of Häagen-Dazs Ice Cream. Made with only the finest ingredients, this premium dessert offers a luxurious and unforgettable taste experience. Whether you're craving classic vanilla, decadent chocolate, or a unique flavor like dulce de leche, Häagen-Dazs has something for every sweet tooth. Treat yourself to a little luxury with every spoonful of Häagen-Dazs Ice Cream.",$4.56,210,Vegan,Non-Gluten-Free
312,Sara Lee Cheesecake,Frozen Foods - Desserts,"Indulge in the rich and creamy Sara Lee Cheesecake, a delectable frozen dessert that is perfect for satisfying your sweet tooth. Made with real cream cheese and a buttery, graham cracker crust, each bite is a heavenly combination of smooth, velvety texture and delicious flavor. Simply thaw and serve for an effortlessly decadent treat that is sure to be a hit at any gathering or as a special indulgence at home.",$3.14,795,Vegan,Non-Gluten-Free
313,Edwards Key Lime Pie,Frozen Foods - Desserts,"Indulge in the tangy and creamy goodness of Edwards Key Lime Pie. This frozen dessert features a crumbly graham cracker crust, a luscious key lime filling, and a generous dollop of whipped cream. Perfect for satisfying your sweet tooth with a refreshing citrus twist, this decadent pie is ready to enjoy straight from the freezer.",$1.03,770,Vegan,Gluten-Free
314,Aunt Jemima Waffles,Frozen Foods - Desserts,"Aunt Jemima Waffles are a delicious and convenient frozen dessert option. These golden, crispy waffles are perfect for a quick and easy breakfast or snack. Made with high-quality ingredients and packed with flavor, Aunt Jemima Waffles are sure to satisfy your sweet tooth. Just pop them in the toaster or oven for a tasty treat any time of day.",$3.72,787,Non-Vegan,Non-Gluten-Free
315,Eggo Chocolate Chip Pancakes,Frozen Foods - Desserts,"Indulge in a delightful breakfast or dessert with Eggo Chocolate Chip Pancakes. These perfectly fluffy pancakes are studded with rich chocolate chips, making them a sweet and satisfying treat. Simply pop them in the toaster or microwave for a quick and convenient snack that the whole family will love. Whether enjoyed on their own or topped with syrup and whipped cream, Eggo Chocolate Chip Pancakes are a delicious and convenient option for satisfying your sweet tooth.",$3.96,860,Non-Vegan,Non-Gluten-Free
316,Nestle Toll House Chocolate Chip Cookie Dough,Frozen Foods - Desserts,"'Nestle Toll House Chocolate Chip Cookie Dough' is a convenient and delicious frozen dessert offering. Each package contains pre-formed cookie dough that is ready to be baked, creating warm and gooey chocolate chip cookies in minutes. This classic treat is perfect for satisfying sweet cravings and is sure to please both kids and adults alike.",$1.89,385,Non-Vegan,Non-Gluten-Free
317,Blue Bell Ice Cream,Frozen Foods - Desserts,"Blue Bell Ice Cream is a delightful and creamy frozen dessert offering a wide variety of flavors to satisfy every sweet tooth. Made with high-quality ingredients, this frozen treat is perfect for any occasion or for simply indulging in a delicious, cool treat. Whether you're in the mood for classic vanilla, decadent chocolate, or any of their other irresistible flavors, Blue Bell Ice Cream is sure to be a hit with dessert lovers of all ages.",$2.09,580,Non-Vegan,Gluten-Free
318,Klondike Bars,Frozen Foods - Desserts,"Klondike Bars are a delicious frozen dessert treat that features a creamy, indulgent ice cream filling coated in a crispy, rich chocolate shell. Perfect for satisfying sweet cravings, these iconic frozen treats come in a variety of flavors and are individually wrapped for convenience. Whether enjoyed as a quick and satisfying snack or served as a refreshing dessert, Klondike Bars are a classic choice for frozen treat lovers.",$1.22,505,Non-Vegan,Gluten-Free
319,Talenti Gelato,Frozen Foods - Desserts,"Talenti Gelato is a luxurious and indulgent frozen dessert made with the finest ingredients, featuring a creamy texture and rich, authentic flavors. From classic favorites like Mediterranean Mint and Double Dark Chocolate to bold combinations like Sea Salt Caramel and Black Raspberry Chocolate Chip, Talenti Gelato offers a premium frozen treat experience for any dessert lover.",$3.85,664,Vegan,Gluten-Free
320,Coca-Cola,Beverages - Soft Drinks,"Coca-Cola is a classic soft drink known for its refreshing and crisp taste. With its unique blend of carbonated water, sugar, and natural flavors, Coca-Cola is a beloved beverage enjoyed by people of all ages around the world. Whether served chilled on its own or mixed with your favorite spirits, Coca-Cola is the perfect choice for any occasion.",$1.47,238,Non-Vegan,Non-Gluten-Free
321,Pepsi,Beverages - Soft Drinks,"Pepsi is a carbonated soft drink that has been a popular choice for refreshment for decades. With its signature blend of cola flavor and crisp, effervescent bubbles, Pepsi provides a satisfying and thirst-quenching drink that is perfect for any occasion. Whether enjoyed on its own or used as a mixer in cocktails, Pepsi is a timeless and iconic beverage that has a loyal following of fans around the world.",$3.82,273,Vegan,Non-Gluten-Free
322,Mountain Dew,Beverages - Soft Drinks,"Mountain Dew is a vibrant and citrusy soft drink that packs a bold punch of flavor. With its iconic neon green hue, this fizzy beverage offers a refreshing and energizing pick-me-up, making it a popular choice for those seeking a zesty and exciting thirst quencher. Perfect for enjoying on its own or as a mixer in cocktails, Mountain Dew is a go-to choice for those looking for a unique and invigorating soft drink experience.",$1.85,770,Non-Vegan,Gluten-Free
323,Dr. Pepper,Beverages - Soft Drinks,"Dr. Pepper is a unique and satisfying soft drink with a bold blend of 23 flavors. This carbonated beverage offers a one-of-a-kind taste that has been popular for over a century. Whether enjoyed on its own or used as a mixer in cocktails, Dr. Pepper provides a refreshing and distinctive drinking experience.",$2.53,372,Non-Vegan,Gluten-Free
324,Sprite,Beverages - Soft Drinks,"Sprite is a refreshing lemon-lime flavored soft drink known for its crisp, clean taste. It is caffeine-free and made with natural flavors, making it a popular choice for those seeking a bubbly and thirst-quenching beverage. Whether enjoyed on its own or used as a mixer in cocktails, Sprite is the perfect way to add some effervescence to any occasion.",$4.74,996,Non-Vegan,Gluten-Free
325,Fanta,Beverages - Soft Drinks,"Fanta is a popular carbonated soft drink that offers a refreshing, fruity flavor. Made with real fruit juice, Fanta is known for its vibrant color and crisp, bubbly taste. Available in a variety of flavors, Fanta is the perfect choice for those looking to quench their thirst with a delicious and satisfying beverage.",$3.93,421,Non-Vegan,Non-Gluten-Free
326,7UP,Beverages - Soft Drinks,"7UP is a crisp and refreshing lemon-lime flavored soft drink. With its iconic green packaging and bubbly effervescence, 7UP is the perfect thirst-quenching beverage for any occasion. Whether enjoyed on its own or as a mixer in cocktails, 7UP delivers a zesty and tangy taste that's sure to satisfy.",$3.00,562,Non-Vegan,Gluten-Free
327,Mello Yello,Beverages - Soft Drinks,"Mello Yello is a refreshing soft drink with a bold citrus flavor. Made with real sugar, this carbonated beverage provides a burst of energy with each sip. Whether enjoyed on its own or as a mixer in cocktails, Mello Yello is the perfect pick-me-up for any occasion.",$3.48,630,Vegan,Gluten-Free
328,Barq's Root Beer,Beverages - Soft Drinks,"Barq's Root Beer is a carbonated soft drink with a bold, sassafras flavor that has been enjoyed for over a century. Made with high-quality ingredients, this classic root beer is perfect for sipping on a hot summer day or pairing with your favorite burger and fries. With its distinctive taste and bubbly texture, Barq's Root Beer is a refreshing choice for anyone looking for a delicious and satisfying beverage.",$3.85,482,Non-Vegan,Gluten-Free
329,Canada Dry Ginger Ale,Beverages - Soft Drinks,"Canada Dry Ginger Ale is a classic and refreshing soft drink that has been enjoyed for generations. Made with real ginger and a perfect blend of carbonation, this fizzy beverage is both soothing and satisfying. It's the perfect drink to enjoy on its own or as a mixer for cocktails. With its crisp, clean taste, Canada Dry Ginger Ale is the perfect choice for any occasion.",$2.56,540,Non-Vegan,Gluten-Free
330,Minute Maid Orange Juice,Beverages - Juice,"""Minute Maid Orange Juice is a refreshing and invigorating drink made from the finest quality oranges. Packed with vitamin C and natural orange flavor, this juice is perfect for starting your day or as a refreshing pick-me-up any time. Enjoy the pure and delicious taste of real orange juice with Minute Maid Orange Juice.""",$3.93,685,Non-Vegan,Non-Gluten-Free
331,Tropicana Pure Premium Orange Juice,Beverages - Juice,"Tropicana Pure Premium Orange Juice is a refreshing and delicious beverage made from 100% pure squeezed oranges. Packed with Vitamin C and no added sugar, this juice is the perfect way to start your morning or enjoy a burst of citrus flavor any time of day. With its smooth, natural taste, Tropicana Pure Premium Orange Juice is a popular choice for those looking for a high-quality and nutritious drink option.",$4.71,154,Vegan,Non-Gluten-Free
332,Simply Orange Juice,Beverages - Juice,"Simply Orange Juice is a pure and refreshing beverage made from the finest oranges. It is 100% natural, with no added preservatives, colors, or artificial flavors. Packed with the goodness of vitamin C, this juice is the perfect way to start your day on a healthy and refreshing note. Enjoy the taste of freshly squeezed oranges in every sip of Simply Orange Juice.",$1.85,365,Vegan,Gluten-Free
333,Ocean Spray Cranberry Juice,Beverages - Juice,"Ocean Spray Cranberry Juice is a refreshing and tart beverage made from the finest cranberries. Packed with antioxidants and Vitamin C, this juice is a delicious and healthy choice for any time of day. Enjoy the crisp and unique flavor of cranberries with every sip of Ocean Spray Cranberry Juice.",$1.05,838,Non-Vegan,Gluten-Free
334,Welch's Grape Juice,Beverages - Juice,"Welch's Grape Juice is a delicious and refreshing beverage made from the finest concord grapes. This 100% grape juice is rich in antioxidants and vitamins, making it a healthy choice for any occasion. With its sweet and tangy flavor, Welch's Grape Juice is a classic favorite that the whole family can enjoy. Whether served chilled on its own or mixed into cocktails and smoothies, this juice is sure to satisfy your thirst and tantalize your taste buds.",$4.12,321,Vegan,Gluten-Free
335,V8 Vegetable Juice,Beverages - Juice,"V8 Vegetable Juice is a nutritious and delicious beverage made from a blend of eight different vegetables, including tomatoes, carrots, and spinach. Packed with vitamins and minerals, V8 Vegetable Juice offers a refreshing and satisfying way to get your daily dose of essential nutrients. Enjoy the goodness of vegetables in a convenient and flavorful juice that you can enjoy on its own or use as a base for smoothies and cocktails.",$3.83,649,Vegan,Gluten-Free
336,Naked Juice ,Beverages - Juice,"Naked Juice is a line of premium, all-natural fruit and vegetable juices that are cold-pressed to retain maximum nutrients and flavor. Made with no added sugars or artificial ingredients, Naked Juice offers a pure and refreshing way to enjoy the goodness of nature's bounty in every sip. Whether you're looking for a boost of energy, a dose of antioxidants, or simply a delicious and healthy beverage, Naked Juice has a variety of options to suit your needs.",$4.95,933,Vegan,Non-Gluten-Free
337,Mott's Apple Juice,Beverages - Juice,"Mott's Apple Juice is a refreshing and naturally sweet beverage made from the finest apples. It is 100% pure apple juice with no added sugar, making it a healthy and delicious option for anyone looking for a wholesome drink. Enjoy the crisp and mouthwatering taste of real apples in every sip of Mott's Apple Juice.",$4.70,575,Non-Vegan,Non-Gluten-Free
338,Snapple Fruit Punch Juice,Beverages - Juice,"Snapple Fruit Punch Juice is a refreshing blend of tropical fruits, including pineapple, guava, and mango. Made with real fruit juice and no artificial flavors, this delicious beverage has a sweet and tangy flavor that is perfect for quenching your thirst on a hot day. Enjoy the bold and fruity taste of Snapple Fruit Punch Juice, packed with vitamins and natural goodness.",$4.25,156,Non-Vegan,Non-Gluten-Free
339,365 Everyday Value Orange Juice,Beverages - Juice,"365 Everyday Value Orange Juice is a refreshing and delicious beverage made from 100% pure squeezed oranges. Packed with vitamin C, this juice is perfect to start your day or to enjoy as a refreshing pick-me-up any time. With no added sugar or preservatives, it's a natural and healthy choice for the whole family.",$4.23,145,Non-Vegan,Gluten-Free
340,Budweiser,Beverages - Alcoholic Drinks,"Budweiser is a well-known American lager with a smooth, crisp taste and a clean finish. This iconic beer is brewed using the finest barley malt, a blend of premium hop varieties, and pure water, resulting in a refreshing and full-bodied flavor. Enjoyed by beer lovers worldwide, Budweiser is the perfect choice for any occasion.",$2.95,957,Non-Vegan,Non-Gluten-Free
341,Smirnoff Vodka,Beverages - Alcoholic Drinks,"Smirnoff Vodka is a smooth and versatile alcoholic beverage that is perfect for mixing into your favorite cocktails or enjoying on the rocks. Made with premium ingredients and triple-distilled for purity, this classic vodka offers a crisp and clean taste that is perfect for any occasion. With its iconic bottle and longstanding reputation for quality, Smirnoff Vodka is a timeless choice for vodka enthusiasts everywhere.",$3.52,693,Vegan,Gluten-Free
342,Jack Daniel's,Beverages - Alcoholic Drinks,"Jack Daniel's is a world-renowned whiskey made in Lynchburg, Tennessee. It is known for its smooth, mellow flavor with hints of caramel and vanilla. Distilled and aged in oak barrels, Jack Daniel's is a timeless classic enjoyed by whiskey lovers around the globe. Whether sipped neat, on the rocks, or mixed into a cocktail, Jack Daniel's is a versatile and beloved choice for any occasion.",$1.64,239,Non-Vegan,Non-Gluten-Free
343,White Claw,Beverages - Alcoholic Drinks,"White Claw is a refreshing and light alcoholic drink that is perfect for any occasion. With a blend of fruit flavors and a dose of carbonation, it is a delightful alternative to traditional beer or hard seltzer. Enjoyed by those seeking a crisp and clean beverage, White Claw is a popular choice for those looking to unwind and relax.",$3.71,148,Vegan,Gluten-Free
344,Malibu Rum,Beverages - Alcoholic Drinks,"Malibu Rum is a popular coconut flavored rum that brings a taste of the Caribbean to any cocktail. With its smooth and sweet flavor, it is perfect for mixing into tropical drinks like piña coladas or Malibu and Coke. Enjoy the refreshing taste of Malibu Rum on its own or as a key ingredient in your favorite summertime beverages.",$4.69,100,Vegan,Gluten-Free
345,Stella Artois,Beverages - Alcoholic Drinks,"Stella Artois is a premium Belgian lager known for its crisp, clean flavor and distinctive hoppy aroma. Brewed using traditional methods and the finest ingredients, this iconic beer has been enjoyed by beer lovers around the world for over 600 years. With its smooth, balanced taste and golden appearance, Stella Artois is the perfect choice for those seeking a classic, refreshing beer experience.",$4.61,352,Non-Vegan,Gluten-Free
346,Baileys Irish Cream,Beverages - Alcoholic Drinks,"Baileys Irish Cream is a luxurious and indulgent alcoholic beverage from Ireland. Made with the finest Irish whiskey, rich dairy cream, and a hint of cocoa, this creamy liqueur is perfect for sipping on its own, adding to coffee, or using in cocktail recipes. Its smooth and velvety texture makes it a favorite for those who enjoy a sweet and decadent dessert drink. Experience the creamy delight of Baileys Irish Cream and indulge in a satisfyingly smooth sip.",$1.74,149,Vegan,Gluten-Free
347,Jose Cuervo Tequila,Beverages - Alcoholic Drinks,"Jose Cuervo Tequila is a premium and renowned alcoholic beverage made from the finest blue agave. With a rich and unique flavor profile, this tequila is perfect for crafting classic cocktails such as margaritas, tequila sunrises, and palomas. Whether enjoyed on the rocks or mixed into your favorite drink, Jose Cuervo Tequila provides a smooth and satisfying drinking experience.",$3.11,170,Non-Vegan,Gluten-Free
348,Captain Morgan,Beverages - Alcoholic Drinks,"Captain Morgan is a popular spiced rum that is known for its rich, smooth flavor and distinct, eye-catching bottle. This Caribbean rum is perfect for mixing in cocktails like the classic rum and coke or the vibrant mojito, making it a versatile choice for any occasion. Enjoyed by rum enthusiasts and casual drinkers alike, Captain Morgan is a go-to choice for those seeking a high-quality, satisfying beverage.",$1.08,945,Non-Vegan,Gluten-Free
349,Mike's Hard Lemonade,Beverages - Alcoholic Drinks,"Mike's Hard Lemonade is a refreshing and fizzy alcoholic beverage that combines the tanginess of real lemonade with a subtle kick of alcohol. With a smooth and crisp taste, it's the perfect drink for summer gatherings, backyard barbecues, or simply enjoying a casual night in. Made with natural flavors and without any artificial colors, Mike's Hard Lemonade is a go-to choice for those looking for a light and flavorful alcoholic drink.",$1.92,599,Vegan,Non-Gluten-Free
350,Lay's Classic Potato Chips,Snacks - Chips,"Lay's Classic Potato Chips are the perfect combination of crispy, salty, and satisfying. Made from real potatoes and cooked to perfection, these chips are a timeless snack that is loved by all. Whether you're enjoying them as a standalone treat or dipping them into your favorite sauce or dip, Lay's Classic Potato Chips are a go-to snack for any occasion.",$4.53,477,Vegan,Gluten-Free
351,Doritos Nacho Cheese Tortilla Chips,Snacks - Chips,"Doritos Nacho Cheese Tortilla Chips are a classic, flavorful snack that packs a punch of nacho cheese flavor in every bite. These crispy, crunchy chips are perfect for dipping or enjoying on their own, and are a must-have for any snack time or gathering. Made with the perfect blend of spices and real cheese, these chips are sure to satisfy your craving for bold, cheesy flavor.",$1.99,903,Non-Vegan,Gluten-Free
352,Pringles Original Potato Crisps,Snacks - Chips,"Pringles Original Potato Crisps are the classic, stackable snack that everyone loves. Made from real potatoes and perfectly seasoned, these crisps have a satisfying crunch and a savory flavor that's impossible to resist. With their unique, iconic shape and resealable canister, these chips are perfect for on-the-go snacking or for sharing with friends and family. Enjoy the crispy, salty goodness of Pringles Original Potato Crisps anytime, anywhere.",$4.32,753,Non-Vegan,Non-Gluten-Free
353,Cheetos Crunchy Cheese Flavored Snacks,Snacks - Chips,"Cheetos Crunchy Cheese Flavored Snacks are irresistibly crunchy and packed with the bold and zesty taste of real cheddar cheese. Made with high-quality ingredients, these addictive snacks are perfect for satisfying any craving for a delicious and satisfying cheese-flavored treat. Whether you're enjoying them on their own or using them as a topping for your favorite dishes, Cheetos Crunchy Cheese Flavored Snacks are sure to become your new go-to snack.",$4.18,691,Vegan,Non-Gluten-Free
354,Ruffles Original Potato Chips,Snacks - Chips,"Ruffles Original Potato Chips are a classic snack with a satisfying crunch and rich potato flavor. Made with high-quality potatoes and seasoned with just the right amount of salt, these chips are perfect for enjoying on their own or dipping in your favorite sauces or spreads. Whether you're hosting a party or simply craving a tasty snack, Ruffles Original Potato Chips are sure to hit the spot.",$1.27,546,Non-Vegan,Non-Gluten-Free
355,Fritos Original Corn Chips,Snacks - Chips,"Fritos Original Corn Chips are the perfect snack for any occasion. These crispy, golden chips are made from whole corn kernels and seasoned with just the right amount of salt. Enjoy their classic, savory flavor on their own or pair them with your favorite dips and salsas. Whether you're hosting a party or just need a quick snack on the go, Fritos Original Corn Chips are sure to satisfy your cravings.",$4.84,761,Vegan,Gluten-Free
356,Tostitos Scoops Tortilla Chips,Snacks - Chips,"Tostitos Scoops Tortilla Chips are the perfect dipping chips. These crispy, bowl-shaped chips are designed to easily scoop up your favorite salsa, guacamole, or dip. Made from premium white corn, these chips are lightly salted and have a deliciously crunchy texture. Whether you're hosting a party or just enjoying a movie night at home, Tostitos Scoops Tortilla Chips are a must-have snack for any occasion.",$2.19,183,Vegan,Gluten-Free
357,SunChips Multigrain Snacks,Snacks - Chips,"SunChips Multigrain Snacks are a delicious and wholesome snack option made with a blend of whole grains and sunflower oil. These crunchy, flavorful chips are perfect for satisfying your cravings while also providing a good source of fiber and 18 grams of whole grains per serving. With a unique, earthy taste and light, crispy texture, SunChips Multigrain Snacks are a guilt-free snacking option for any time of day.",$2.04,207,Non-Vegan,Gluten-Free
358,Kettle Brand Sea Salt Potato Chips,Snacks - Chips,"Indulge in the crunchy, savory goodness of Kettle Brand Sea Salt Potato Chips. Made with all-natural potatoes and a dash of sea salt, these kettle-cooked chips are perfectly seasoned for a satisfying snack. Enjoy them on their own or paired with your favorite dip for a delightful, crunchy treat.",$3.68,415,Non-Vegan,Gluten-Free
359,Cape Cod Original Kettle Cooked Potato Chips,Snacks - Chips,"""Cape Cod Original Kettle Cooked Potato Chips are a crunchy and hearty snack perfect for satisfying your cravings. Made with all-natural ingredients and cooked in small batches, these chips deliver a superior taste and crispiness that is hard to resist. Whether enjoyed on their own or paired with your favorite dip, these classic potato chips are a timeless favorite for snacking.""",$3.32,102,Non-Vegan,Non-Gluten-Free
360,Planters Mixed Nuts,Snacks - Nuts,"Planters Mixed Nuts is a savory and satisfying snack that combines a variety of premium nuts including cashews, almonds, Brazil nuts, pecans, and hazelnuts. Perfect for on-the-go snacking or as a delicious addition to trail mixes or salads, this blend offers a crunchy and flavorful combination of hearty nuts. Packed with protein and healthy fats, Planters Mixed Nuts are a convenient and nutritious option for any time of day.",$1.97,365,Vegan,Gluten-Free
361,Blue Diamond Almonds,Snacks - Nuts,"Blue Diamond Almonds are a delicious and satisfying snack made from premium almonds. These carefully selected nuts are roasted and seasoned to perfection, creating a crunchy and flavorful treat. Whether you're looking for a quick energy boost or a tasty topping for salads and desserts, Blue Diamond Almonds are the perfect choice. Enjoy the natural goodness and irresistible taste of these high-quality nuts.",$2.54,298,Vegan,Non-Gluten-Free
362,Wonderful Pistachios,Snacks - Nuts,"""Crack open a tasty and nutritious snack with Wonderful Pistachios. These premium, California-grown pistachios are a great source of protein, fiber, and healthy fats. With their perfectly salted and roasted flavor, they are a satisfying and convenient snack option for any time of day.""",$2.97,697,Vegan,Non-Gluten-Free
363,Emerald Cashews,Snacks - Nuts,"Emerald Cashews are a delicious and satisfying snack that is perfect for any time of day. These premium cashews are roasted to perfection and lightly salted, resulting in a rich and indulgent flavor. Packed with protein and essential nutrients, they make an ideal on-the-go snack or a delicious addition to any trail mix. With their crunch and natural sweetness, Emerald Cashews are the perfect choice for a healthy and convenient snack option.",$1.22,402,Vegan,Non-Gluten-Free
364,Diamond of California Walnuts,Snacks - Nuts,"Diamond of California Walnuts are premium quality nuts that are perfect for snacking or adding to your favorite recipes. These walnuts are carefully harvested and packed to preserve their freshness and natural flavor. With their rich and buttery taste, they make a delicious and nutritious snack option for any time of the day. Whether you’re craving something crunchy or looking for a healthy ingredient to enhance your meals, Diamond of California Walnuts are the perfect choice. Enjoy the rich flavor and numerous health benefits of these top-quality nuts.",$2.44,713,Vegan,Non-Gluten-Free
365,Back to Nature Trail Mix,Snacks - Nuts,"Back to Nature Trail Mix is a delicious and satisfying blend of nuts, seeds, and dried fruit. This wholesome snack is perfect for enjoying on-the-go or for refueling during outdoor adventures. Packed with natural ingredients and a mix of sweet and savory flavors, it's the ideal choice for anyone looking for a nutritious and delicious snack option.",$2.41,280,Vegan,Non-Gluten-Free
366,Sun-Maid Natural Raisins,Snacks - Nuts,"Sun-Maid Natural Raisins are a delicious and healthy snack option made from naturally sun-dried grapes. These plump, juicy raisins are a great source of antioxidants, fiber, and natural sweetness. Enjoy them on their own or as an addition to your favorite trail mix or baked goods. With no added sugar or preservatives, Sun-Maid Natural Raisins are the perfect wholesome snack for any time of day.",$4.43,996,Non-Vegan,Gluten-Free
367,Fisher Pecans,Snacks - Nuts,"Fisher Pecans are a delicious and nutritious snack option, perfect for any time of day. These premium, high-quality pecans are roasted to perfection, bringing out their rich, buttery flavor. Whether you enjoy them on their own or use them to add a crunchy topping to salads, yogurt, or baked goods, Fisher Pecans are a versatile and satisfying snack choice. With their natural sweetness and satisfying crunch, Fisher Pecans are sure to become a favorite go-to snack for any occasion.",$3.45,967,Vegan,Non-Gluten-Free
368,Sahale Snacks Pomegranate Vanilla Flavored Cashews,Snacks - Nuts,"Sahale Snacks Pomegranate Vanilla Flavored Cashews are a delicious and satisfying snack featuring premium cashews coated with a sweet and tangy pomegranate vanilla flavor. These crunchy, flavorful nuts are perfect for enjoying on their own or as a topping for salads and yogurt. With the perfect balance of sweet and nutty flavors, these cashews are a satisfying and nutritious snack option.",$1.00,634,Vegan,Non-Gluten-Free
369,KIND Maple Glazed Pecan & Sea Salt Bars,Snacks - Nuts,"Indulge in the sweet and savory flavors of KIND Maple Glazed Pecan & Sea Salt Bars. These delicious snack bars are packed with crunchy pecans, maple syrup, and a hint of sea salt, creating the perfect balance of sweetness and nuttiness. With 5g of sugar and 6g of protein, these bars are a satisfying and wholesome choice for an on-the-go snack.",$2.46,977,Vegan,Non-Gluten-Free
370,Kit Kat ,Snacks - Candy,"Kit Kat is a delicious and iconic candy bar made of crispy wafers layered with smooth milk chocolate. Break off a piece and enjoy the satisfying crunch and rich, creamy taste. Perfect for satisfying sweet cravings and sharing with friends and family.",$3.01,460,Vegan,Gluten-Free
371,Twix ,Snacks - Candy,"Twix is a popular candy bar made with a crunchy biscuit finger covered in caramel and milk chocolate. It offers a delightful combination of textures and flavors, making it a delicious and satisfying snack for any sweet tooth.",$3.35,272,Non-Vegan,Gluten-Free
372,Reese's Peanut Butter Cups ,Snacks - Candy,"Reese's Peanut Butter Cups are a delicious and irresistible combination of creamy peanut butter covered in smooth milk chocolate. These iconic, bite-sized treats are the perfect combination of sweet and salty, making them a beloved snack for all ages. Whether you enjoy them on their own or use them as a topping for ice cream or baked goods, Reese's Peanut Butter Cups are sure to satisfy your sweet tooth cravings.",$1.31,739,Vegan,Non-Gluten-Free
373,M&M's ,Snacks - Candy,"M&M's are a popular candy snack that features small, colorful milk chocolate pieces with a candy shell. These bite-sized treats come in a variety of vibrant colors and are loved by people of all ages. Whether enjoyed on their own or used as a topping for desserts, M&M's are a delicious and fun way to satisfy your sweet tooth.",$2.60,378,Non-Vegan,Gluten-Free
374,Skittles ,Snacks - Candy,"Skittles are a colorful and fruity candy treat that comes in a variety of flavors, including strawberry, orange, green apple, grape, and lemon. The bite-sized, chewy candies are perfect for satisfying your sweet tooth and come in a resealable package for on-the-go snacking. Enjoy the vibrant and zesty taste of Skittles anytime, anywhere.",$3.79,125,Vegan,Gluten-Free
375,Snickers ,Snacks - Candy,"Snickers is a classic candy bar that is packed with peanuts, caramel, and nougat, all coated in rich milk chocolate. This beloved treat offers a perfect combination of sweet and salty flavors, making it a satisfying and indulgent snack for any time of day.",$3.21,228,Non-Vegan,Non-Gluten-Free
376,Hershey's Kisses ,Snacks - Candy,"Indulge in the classic sweetness of Hershey's Kisses. These iconic bite-sized chocolates are wrapped in the familiar silver foil and offer a rich, creamy milk chocolate flavor that is perfect for satisfying your sweet tooth cravings. Whether enjoyed straight from the bag or used in baking and decorating, Hershey's Kisses are a timeless treat that everyone loves.",$3.26,480,Non-Vegan,Gluten-Free
377,Haribo Gummy Bears ,Snacks - Candy,"Haribo Gummy Bears are a classic and beloved candy filled with fruity flavor and a soft, chewy texture. These iconic gummy bears come in a variety of colors and are perfect for satisfying your sweet tooth cravings. Whether you're snacking on them at home, sharing with friends, or using them as a topping for ice cream or baked goods, Haribo Gummy Bears are sure to bring a smile to your face with their irresistible taste.",$4.00,629,Non-Vegan,Gluten-Free
378,Airheads ,Snacks - Candy,"Airheads are a delicious and chewy taffy candy available in a variety of fruity and tangy flavors. These vibrant and colorful treats are perfect for satisfying your sweet tooth and come individually wrapped for easy, on-the-go snacking. Whether you prefer the classic flavors like cherry, blue raspberry, and watermelon, or the more exotic options like white mystery and mango, Airheads are sure to hit the spot. So, grab a pack of Airheads and enjoy the chewy, melt-in-your-mouth goodness!",$4.12,671,Non-Vegan,Gluten-Free
379,Sour Patch Kids,Snacks - Candy,"Sour Patch Kids are a popular sour and sweet candy treat. Shaped like little kids, these soft and chewy candies are coated with a tangy and mouth-puckering sour sugar that gives way to a sweet and fruity flavor. With their fun shapes and delicious taste, Sour Patch Kids are a favorite snack for kids and adults alike.",$4.31,364,Non-Vegan,Gluten-Free
380,Uncle Ben's Converted Long Grain Rice,Grains and Pasta - Rice,"Uncle Ben's Converted Long Grain Rice is a high-quality, versatile staple for any kitchen. It is long grain rice that has been specially processed to preserve its natural nutrients and flavor, making it a perfect addition to a wide variety of meals. Whether you're making a stir-fry, curry, or simply serving it as a side dish, this rice is sure to impress with its fluffy texture and delicious taste. Enjoy the convenience and quality of Uncle Ben's Converted Long Grain Rice for all your cooking needs.",$2.26,485,Non-Vegan,Gluten-Free
381,Mahatma Extra Long Grain White Rice,Grains and Pasta - Rice,"""Mahatma Extra Long Grain White Rice is a premium quality rice that is known for its extra-long and slender grains. This versatile rice is perfect for a variety of dishes, from pilafs and casseroles to rice bowls and stir-fries. It cooks up fluffy and separate, making it an excellent choice for any meal. Whether you're cooking for a family dinner or a special occasion, Mahatma Extra Long Grain White Rice is a delicious and dependable option.""",$3.01,444,Vegan,Gluten-Free
382,Lundberg Family Farms Organic Short Grain Brown Rice,Grains and Pasta - Rice,"Lundberg Family Farms Organic Short Grain Brown Rice is a premium, whole-grain rice product that is both nutritious and delicious. Sustainably and organically grown, this short grain brown rice is versatile and suitable for a wide variety of recipes, from sushi to risotto. With its nutty flavor and hearty texture, this rice is a healthy option for any meal.",$2.99,665,Non-Vegan,Gluten-Free
